order_id,customer_id,order_date,product,quantity,price,ship_date,total_amount
1,1102.0,2023-01-01 00:00:00,B,1,422.96631070341687,2022-12-31 00:00:00,422.96631070341687
2,1435.0,2023-01-01 01:00:00,C,9,159.25532273486132,2023-01-03 01:00:00,1433.2979046137518
3,1860.0,2023-01-01 02:00:00,C,9,480.6729553227136,2022-12-30 02:00:00,4326.056597904422
4,1270.0,2023-01-01 03:00:00,B,6,95.74603517129754,2023-01-02 03:00:00,574.4762110277852
5,1106.0,2023-01-01 04:00:00,A,-2,123.58749431167138,2022-12-30 04:00:00,-247.17498862334276
6,1071.0,2023-01-01 05:00:00,B,-2,456.18071714487127,2022-12-31 05:00:00,-912.3614342897425
7,1700.0,2023-01-01 06:00:00,A,1,483.31286057648674,2023-01-01 06:00:00,483.31286057648674
8,1020.0,2023-01-01 07:00:00,A,0,106.85766156783234,2023-01-02 07:00:00,0.0
9,1614.0,2023-01-01 08:00:00,B,4,25.01452180357215,2023-01-02 08:00:00,100.0580872142886
10,1121.0,2023-01-01 09:00:00,A,8,367.48047534082866,2022-12-30 09:00:00,2939.8438027266293
11,1466.0,2023-01-01 10:00:00,A,0,461.3158964652465,2022-12-30 10:00:00,0.0
12,1214.0,2023-01-01 11:00:00,B,-2,280.392504036031,2022-12-30 11:00:00,-560.785008072062
13,,2023-01-01 12:00:00,B,9,298.9854249234357,2023-01-02 12:00:00,2690.8688243109214
14,1458.0,2023-01-01 13:00:00,B,8,369.6188337947651,2022-12-30 13:00:00,2956.950670358121
15,1087.0,2023-01-01 14:00:00,A,7,34.196650362774534,2023-01-03 14:00:00,239.37655253942174
16,1372.0,2023-01-01 15:00:00,C,-1,485.4078930721066,2023-01-03 15:00:00,-485.4078930721066
17,1099.0,2023-01-01 16:00:00,A,7,150.38116160072713,2023-01-03 16:00:00,1052.6681312050898
18,1871.0,2023-01-01 17:00:00,C,1,295.53223426824445,2023-01-02 17:00:00,295.53223426824445
19,1663.0,2023-01-01 18:00:00,B,-2,207.73881127499607,2022-12-30 18:00:00,-415.47762254999213
20,1130.0,2023-01-01 19:00:00,C,-2,207.4995388706647,2022-12-31 19:00:00,-414.9990777413294
21,1661.0,2023-01-01 20:00:00,B,9,336.5094046658468,2022-12-30 20:00:00,3028.584641992621
22,1308.0,2023-01-01 21:00:00,B,5,497.06426437973994,2023-01-02 21:00:00,2485.3213218987
23,1769.0,2023-01-01 22:00:00,C,4,312.4829177727733,2023-01-03 22:00:00,1249.9316710910932
24,1343.0,2023-01-01 23:00:00,B,5,386.7325223650044,2023-01-02 23:00:00,1933.662611825022
25,1491.0,2023-01-02 00:00:00,C,1,-34.81116850575143,2022-12-31 00:00:00,-34.81116850575143
26,1413.0,2023-01-02 01:00:00,B,3,395.73505298565004,2023-01-03 01:00:00,1187.20515895695
27,1805.0,2023-01-02 02:00:00,A,0,114.98673497256343,2023-01-01 02:00:00,0.0
28,1385.0,2023-01-02 03:00:00,A,8,19.68601476906568,2023-01-03 03:00:00,157.48811815252543
29,,2023-01-02 04:00:00,B,5,12.333746996238219,2023-01-02 04:00:00,61.66873498119109
30,1955.0,2023-01-02 05:00:00,B,1,323.93114779329466,2023-01-03 05:00:00,323.93114779329466
31,1276.0,2023-01-02 06:00:00,C,0,498.68925982230246,2022-12-31 06:00:00,0.0
32,1160.0,2023-01-02 07:00:00,A,1,316.40730410509485,2023-01-02 07:00:00,316.40730410509485
33,1459.0,2023-01-02 08:00:00,C,3,94.29148253672665,2023-01-04 08:00:00,282.8744476101799
34,1313.0,2023-01-02 09:00:00,B,8,61.81828405161683,2022-12-31 09:00:00,494.5462724129346
35,1021.0,2023-01-02 10:00:00,B,4,239.27640459742236,2023-01-01 10:00:00,957.1056183896894
36,1252.0,2023-01-02 11:00:00,C,4,-14.22838535711319,2023-01-03 11:00:00,-56.91354142845276
37,1747.0,2023-01-02 12:00:00,B,9,169.63195810995296,2023-01-03 12:00:00,1526.6876229895765
38,1856.0,2023-01-02 13:00:00,A,1,316.4291972031831,2022-12-31 13:00:00,316.4291972031831
39,,2023-01-02 14:00:00,C,5,482.21425169466625,2023-01-03 14:00:00,2411.071258473331
40,1474.0,2023-01-02 15:00:00,A,4,184.10939629858288,2023-01-03 15:00:00,736.4375851943315
41,1058.0,2023-01-02 16:00:00,A,-1,60.123167224018644,2023-01-04 16:00:00,-60.123167224018644
42,1510.0,2023-01-02 17:00:00,A,5,399.5493218550314,2023-01-03 17:00:00,1997.746609275157
43,1681.0,2023-01-02 18:00:00,C,6,359.30973867333904,2023-01-03 18:00:00,2155.858432040034
44,1475.0,2023-01-02 19:00:00,B,2,422.8371385126091,2023-01-04 19:00:00,845.6742770252182
45,1699.0,2023-01-02 20:00:00,A,1,68.09530014859067,2023-01-03 20:00:00,68.09530014859067
46,1975.0,2023-01-02 21:00:00,A,1,172.6577077174093,2023-01-04 21:00:00,172.6577077174093
47,1782.0,2023-01-02 22:00:00,A,1,489.85494074767064,2023-01-01 22:00:00,489.85494074767064
48,1189.0,2023-01-02 23:00:00,B,3,36.92327587700542,2023-01-03 23:00:00,110.76982763101627
49,1957.0,2023-01-03 00:00:00,B,8,319.29795053549077,2023-01-01 00:00:00,2554.383604283926
50,1686.0,2023-01-03 01:00:00,C,1,80.45145385099522,2023-01-03 01:00:00,80.45145385099522
51,1957.0,2023-01-03 02:00:00,B,4,225.08745345539933,2023-01-02 02:00:00,900.3498138215973
52,1562.0,2023-01-03 03:00:00,C,4,390.28030518762836,2023-01-04 03:00:00,1561.1212207505134
